,name,longitude,latitude
14948,PUTIAN,119.53766784414368,25.324757903556883
14949,PUTIAN,119.53654101956208,25.329253806146856
14950,PUTIAN,119.26314682482533,25.426809081653897
14951,PUTIAN,119.25791966459768,25.42897991710432
14952,PUTIAN,119.28114916680828,25.401343156508464
14953,QUANZHOU,118.95567677905052,24.862128680687967
14954,QUANZHOU,118.9674787202524,24.864002559535717
14955,QUANZHOU,118.79846866846847,24.77115225512372
14956,QUANZHOU,118.80417647150104,24.76942124357913
14957,QUANZHOU,118.71680748867614,24.65128773616625
14958,QUANZHOU,118.70552689591813,24.648709730821132
14959,QUANZHOU,118.7108375756554,24.642691625648197
14960,QUANZHOU,118.71597355612448,24.647531890682448
14961,DALIAN,121.90512203298968,38.96106262851188
14962,DALIAN,121.75647462446317,38.98070316701232
14963,DALIAN,121.7506790063908,38.98227841199911
14964,DALIAN,121.74554474774368,38.98344563875038
14965,DALIAN,121.73943626316137,38.9810968825761
14966,DALIAN,121.73392301925944,38.98258982854655
14967,DALIAN,121.72302470427904,38.98473595912504
14968,DALIAN,121.72251204619162,38.977073166097114
14969,DALIAN,121.72226918810752,38.9722951639697
14970,DALIAN,121.72842287859218,38.97014344767304
14971,DALIAN,121.7396224102142,38.971459836867886
14972,DALIAN,121.73969281617087,38.967235033116715
14973,DALIAN,121.7449294646832,38.965836775712205
14974,DALIAN,121.75079396577168,38.96824022547976
14975,DALIAN,121.7452725350627,38.96997567729091
14976,DALIAN,121.74517078126314,38.97950038960861
14977,DALIAN,121.750769450888,38.97288796239193
14978,DALIAN,121.7567904020657,38.97106924543401
14979,DALIAN,121.76242071793716,38.969403383446014
14980,DALIAN,121.76200918608366,38.965251568586766
14981,DALIAN,121.75646750275158,38.96674302953803
14982,DALIAN,121.77804242923764,38.964903344446014
14983,DALIAN,121.77781345874024,38.969040347983146
14984,DALIAN,121.76795475494976,38.967919380581115
14985,DALIAN,121.76779917183906,38.97242624134432
14986,DALIAN,121.77262958371426,38.97973759562564
14987,DALIAN,121.72247245684576,38.939165674699595
14988,DALIAN,121.73390158042152,38.93111339636919
14989,DALIAN,121.72833249555664,38.965624016421934
14990,DALIAN,121.72244392884772,38.96719017660399
14991,DALIAN,121.71629659088232,38.964699945645215
14992,DALIAN,121.70927751917436,38.9626540276408
14993,DALIAN,121.70497489820794,38.96390723790564
14994,DALIAN,121.70514123013632,38.967900844885605
14995,DALIAN,121.70523466342166,38.97249929598079
14996,DALIAN,121.69949857434337,38.974144743233225
14997,DALIAN,121.705442278044,38.94419993220159
14998,DALIAN,121.7051916399173,38.94787928514641
14999,DALIAN,121.71653050635268,38.94501673664233
15000,DALIAN,121.69948036600924,38.97902744070085
15001,DALIAN,121.70031084400836,38.98313873676109
15002,DALIAN,121.7048534572282,38.981936283801645
15003,DALIAN,121.70504955435784,38.97729649829701
15004,DALIAN,121.71018115472536,38.97599785587331
15005,DALIAN,121.71688054115016,38.974199958918426
15006,DALIAN,121.71720217198764,38.97808477511416
15007,DALIAN,121.71112443010354,38.98444994998792
15008,DALIAN,122.204730277788,39.23347803334333
15009,DALIAN,122.2000457242101,39.238959533737486
15010,DALIAN,122.5344996506243,39.200389033448864
15011,DALIAN,121.20821975617125,39.56787906019997
15012,DALIAN,121.23665869531416,39.47000285559391
15013,QINHUANGDAO,119.86188048843135,39.971098385175566
15014,QINHUANGDAO,119.84355211422584,39.95874777966976
15015,TANGSHAN,118.99594911263294,39.16093346713623
15016,TANGSHAN,118.99104557524352,39.1632602097017
